주소,병원명,종별코드,종별코드명,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,치과일반의 인원수,치과인턴의 인원수,치과레지던트의 인원수,치과전문의 인원수,의사총수,읍면동명,개설일자,홈페이지,의과일반의 인원수,의과인턴의 인원수,의과레지던트의 인원수,의과전문의 인원수,조산사 인원수,우편번호,시군구코드,시군구명,시도코드,시도명,전화번호,X좌표,Y좌표,암호화된 요양기호,(네이버)진료시간
강원도 강릉시 경강로 2007 2007,강원도강릉의료원,11,종합병원,0,0,0,0,1,0,0,0,20,"",19830701,http://www.gnmc.or.kr,1,0,0,18,0,25535,320100,강릉시,320000,강원,033-610-1200,128.889,37.7493,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,""
강원도 강릉시 사천면 방동길 38 (),강릉아산병원,01,상급종합,0,0,0,0,0,0,0,2,196,"",19960730,http://www.gnah.co.kr,3,0,33,158,0,25440,320100,강릉시,320000,강원,033-610-3114,128.858,37.8184,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,""
강원도 삼척시 오십천로 418-0 삼척의료원,강원도 삼척의료원,11,종합병원,0,0,0,0,1,0,0,0,28,"",19830701,http://www.ksmc.or.kr,1,0,0,26,0,25920,320700,삼척시,320000,강원,033-572-1141,129.164,37.4403,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,""
강원도 속초시 영랑호반길 3 (영랑동),강원도속초의료원,11,종합병원,0,0,0,0,1,0,0,0,20,영랑동,19830701,http://www.sokchomc.co.kr,0,0,0,19,0,24821,320300,속초시,320000,강원,033-630-6000,128.589,38.2165,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,""
강원도 영월군 영월읍 중앙1로 59 (영월읍),강원도 영월의료원,11,종합병원,0,0,0,0,2,0,0,0,21,영월읍,19830701,http://www.youngwol.org/,0,0,0,19,0,26234,320006,영월군,320000,강원,033-370-9101,128.465,37.1865,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz,""
강원도 원주시 서원대로 387  (개운동),강원도 원주의료원,11,종합병원,0,0,0,0,1,0,0,1,35,"",19830701,http://www.kwmc.or.kr,1,0,0,32,0,26448,320400,원주시,320000,강원,033-760-4605,127.949,37.3326,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,""
강원도 원주시 일산로 20-0  (일산동),연세대학교 원주세브란스기독병원,01,상급종합,0,0,0,0,0,8,8,6,406,"",19770501,http://wch.or.kr/,12,68,81,223,0,26426,320400,원주시,320000,강원,033-741-0114,127.946,37.349,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,""
강원도 춘천시 백령로 156-  (효자동),강원대학교병원,11,종합병원,0,0,0,0,0,0,0,1,261,"",19820708,http://www.knuh.or.kr/main/main.asp,3,22,73,162,0,00000,320500,춘천시,320000,강원,033-258-2000,127.745,37.8752,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,""
"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",국민건강보험공단일산병원,11,종합병원,0,0,0,0,0,7,14,10,254,"",20000118,http://www.nhimc.or.kr,0,0,49,174,0,10444,311903,고양일산동구,310000,경기,1577-0013,126.793,37.6455,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDIjJDgz,""
경기도 고양시 일산동구 일산로 323 (마두동),국립암센터,11,종합병원,0,0,0,0,0,0,2,3,192,"",20000908,http://www.ncc.re.kr,1,0,7,179,0,10408,311903,고양일산동구,310000,경기,031-920-0114,126.783,37.6632,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,""
경기도 광명시 디지털로 36 광명성애병원 (철산동),광명성애병원,11,종합병원,0,0,0,0,2,0,0,1,87,"",19831209,http://www.ksungae.co.kr/Index.asp,0,0,19,65,0,14241,310100,광명시,310000,경기,02-2680-7114,126.871,37.4737,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,""
경기도 부천시 소사로 327 가톨릭대학교 부천성모병원 (소사동),가톨릭대학교부천성모병원,11,종합병원,0,0,0,0,0,0,0,7,229,"",19831108,http://www.cmcbucheon.or.kr,4,22,46,150,0,14647,310300,부천시,310000,경기,032-1577-0675,126.792,37.4871,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,""
경기도 부천시 조마루로 170 (중동),순천향대학교부속부천병원,01,상급종합,0,0,0,0,1,0,0,7,362,"",20010129,http://www.schmc.ac.kr/bucheon/kor/index.do,3,28,98,225,0,14584,310300,부천시,310000,경기,032-621-5114,126.763,37.4987,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz,""
"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",분당서울대학교병원,01,상급종합,0,0,0,0,2,3,7,10,670,"",20030415,http://www.snubh.org/index.do,6,0,155,487,0,13620,310403,성남분당구,310000,경기,031-787-2114,127.123,37.352,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,""
경기도 성남시 분당구 새마을로177번길 81 (율동),국군수도병원,11,종합병원,0,0,0,0,0,0,0,0,128,"",20000226,"",0,0,3,125,0,13574,310403,성남분당구,310000,경기,031-725-6075,127.149,37.3924,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,""
경기도 수원시 영통구 월드컵로 164 (원천동),아주대학교병원,01,상급종합,0,0,0,0,2,4,11,10,664,"",19940425,http://hosp.ajoumc.or.kr/,11,54,174,398,0,16499,310604,수원영통구,310000,경기,031-219-5114,127.048,37.2794,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,""
경기도 수원시 장안구 수성로245번길 69 (정자동),경기도의료원 수원병원,11,종합병원,0,0,0,0,1,0,0,2,32,"",19651221,https://www.medical.or.kr/suwon/index.do,0,0,0,29,0,16316,310602,수원장안구,310000,경기,031-888-0114,126.996,37.2919,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjODEjJDEjJDIjJDgz,""
경기도 수원시 팔달구 중부대로 93 (지동),가톨릭대학교 성빈센트병원,11,종합병원,0,0,0,0,0,0,0,6,378,"",19670523,http://www.cmcvincent.or.kr/skip.html,3,31,96,242,0,16247,310603,수원팔달구,310000,경기,031-1577-8588,127.027,37.278,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,""
경기도 안산시 단원구 적금로 123 (고잔동),고려대학교의과대학부속안산병원,01,상급종합,0,0,0,0,0,0,0,4,383,"",19860101,http://ansan.kumc.or.kr/main/index.do,2,27,114,236,0,15355,311101,안산단원구,310000,경기,031-1577-7516,126.825,37.3185,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,""
경기도 안성시 남파로 95 경기도의료원 안성병원 (당왕동),경기도의료원 안성병원,11,종합병원,0,0,0,0,0,0,0,1,29,"",19830701,http://www.medical.or.kr/_as_gpmc,0,0,0,28,0,17568,312400,안성시,310000,경기,031-8046-5000,127.26,37.0174,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,""
경기도 안양시 동안구 관평로170번길 22 (평촌동),한림대학교성심병원,01,상급종합,0,0,0,0,0,3,8,8,396,"",19981217,http://hallym.hallym.or.kr/,10,36,120,211,0,14068,310702,안양동안구,310000,경기,031-380-1500,126.962,37.3918,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,""
경기도 용인시 기흥구 중부대로 411 강남병원 (신갈동),강남병원,11,종합병원,0,0,0,0,0,0,0,0,41,"",20000701,http://www.knmc.or.kr,0,0,0,41,0,17064,312001,용인기흥구,310000,경기,031-300-0114,127.112,37.2738,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNjEjJDEjJDgjJDgz,""
경기도 용인시 처인구 백옥대로1082번길 18 다보스종합병원 (김량장동),(의)영문의료재단 다보스병원,11,종합병원,0,0,0,0,0,0,0,0,33,"",20081224,http://www.davoshospital.co.kr,0,0,0,33,0,17063,312003,용인처인구,310000,경기,031-8021-2114,127.211,37.2315,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz,""
경기도 의정부시 천보로 271 의정부성모병원 (금오동),가톨릭대학교의정부성모병원,11,종합병원,0,0,0,0,0,0,0,3,264,"",19711230,http://www.cmcujb.or.kr/,8,27,65,161,0,11765,310800,의정부시,310000,경기,1661-7500,127.078,37.7587,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,""
경기도 의정부시 흥선로 142 (의정부동),경기도의료원의정부병원,11,종합병원,0,0,0,1,1,0,0,1,22,"",19860416,http://www.medical.or.kr/_uj_gpmc,0,0,0,19,0,11671,310800,의정부시,310000,경기,031-828-5000,127.043,37.7412,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,""
경기도 이천시 경충대로 2742 (관고동),경기도의료원 이천병원,11,종합병원,0,0,0,0,0,0,0,1,30,"",19831001,"",0,0,0,29,0,17366,312100,이천시,310000,경기,031-630-4200,127.433,37.2829,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz,""
경기도 파주시 중앙로 207 경기도립의료원파주병원 (금촌동),경기도의료원파주병원,11,종합병원,0,0,0,0,2,0,0,0,27,"",20070816,http://www.medical.or.kr/_pj_gpmc,1,0,0,24,0,10922,312200,파주시,310000,경기,031-940-9100,126.78,37.7551,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjNjEjJDEjJDQjJDgz,""
경기도 포천시 포천로 1648 (신읍동),경기도의료원포천병원,11,종합병원,0,0,0,0,0,0,0,1,23,"",19870424,http://www.pomc.or.kr,0,0,0,22,0,11142,312800,포천시,310000,경기,031-539-9114,127.198,37.9033,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjNzEjJDEjJDgjJDgz,""
경상남도 김해시 가락로 359 (구산동),강일병원,11,종합병원,0,0,0,0,0,0,0,1,33,"",20170315,"",0,0,0,32,0,50905,380100,김해시,380000,경남,055-822-0100,128.87,35.2567,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,""
경상남도 양산시 물금읍 금오로 20 (),양산부산대학교병원,01,상급종합,0,0,0,0,1,0,0,1,453,"",20081024,https://www.pnuyh.or.kr,0,59,105,287,0,50612,381100,양산시,380000,경남,055-360-1000,129.006,35.3282,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,""
경상남도 진주시 강남로 79 (칠암동),경상국립대학교병원,01,상급종합,0,0,0,0,0,0,0,2,321,"",19861013,http://www.gnuh.co.kr/,0,29,122,168,0,52727,380500,진주시,380000,경남,055-750-8000,128.096,35.1763,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,""
경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),경상남도마산의료원,11,종합병원,0,0,0,0,0,0,0,0,22,"",19840223,http://www.mmc.or.kr,1,0,0,21,0,51736,380702,창원마산합포구,380000,경남,055-249-1000,128.566,35.1992,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,""
